accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
KC460986.1	Talpa europaea papillomavirus 1	Talpa europaea	Insectivore	2013	filter_fail					
OR951005.1	Taphozous bat papillomavirus 1	Taphozous melanopogon	Insectivore	2024	zero_hits	MAG				
OR952881.1	Taphozous bat papillomavirus 1	Taphozous melanopogon	Insectivore	2024	zero_hits	MAG				
OR952882.1	Taphozous bat papillomavirus 1	Taphozous melanopogon	Insectivore	2024	filter_fail	MAG				
OR952884.1	Taphozous bat papillomavirus 1	Taphozous melanopogon	Insectivore	2024	filter_fail	MAG				
MK443496.1	Tree shrew papillomavirus 1	Tupaia chinensis	Insectivore	2019	zero_hits					
MK443497.1	Tree shrew papillomavirus 2	Tupaia chinensis	Insectivore	2019	zero_hits					
AF227240.1	Oryctolagus cuniculus papillomavirus 1	Oryctolagus cuniculus	Lapine	2020	zero_hits					
AY609301.1	Trichechus manatus latirostris papillomavirus 1	Florida manatee (Trichechus manatus latirostris)	Manatee	2022	filter_fail					
JN709473.1	Trichechus manatus latirostris papillomavirus 2	Trichechus manatus latirostris	Manatee	2012	filter_fail					
OK073977.1	Trichechus manatus papillomavirus		Manatee	2022	filter_fail	Sanger				
EU069819.1	Bandicoot papillomatosis carcinomatosis virus type 1	Perameles bougainville (Western barred bandicoot)	Marsupial	2007	filter_fail					
EU277647.1	Bandicoot papillomatosis carcinomatosis virus type 2	Isoodon obesulus	Marsupial	2008	filter_fail					
GU220391.1	Bettongia penicillata papillomavirus 1	Bettongia penicillata	Marsupial	2016	filter_fail					
OQ746290.1	Enhydra lutris kenyoni papillomavirus 2	subadult male Northern sea otter	Mustelid	2023	zero_hits	Sanger				
KJ410351.1	Enhydra lutris papillomavirus 1	Enhydra lutris nereis	Mustelid	2014	filter_fail					
MW841296.1	Martes foina papillomavirus 1	Martes foina	Mustelid	2021	filter_fail					
KF006988.1	Mustela putorius papillomavirus 1	Mustela putorius furo	Mustelid	2018	filter_fail					
KP861980.1	Alouatta guariba papillomavirus 1	Alouatta guariba clamitans	Non-human Primate	2016	filter_fail					
GU014532.1	Colobus guereza papillomavirus 1	Colobus guereza	Non-human Primate	2011	filter_fail					
GU014533.1	Colobus guereza papillomavirus 2	Colobus guereza	Non-human Primate	2011	filter_fail					
EF028290.1	Macaca fascicularis papillomavirus 1	Macaca fascicularis	Non-human Primate	2009	filter_fail					
EU490515.1	Macaca fascicularis papillomavirus 10	Macaca fascicularis	Non-human Primate	2016	filter_fail					
