id,label,xref
DOID:4630,inverted transitional papilloma,SNOMEDCT_US_2023_03_01:46580000
DOID:4630,inverted transitional papilloma,UMLS_CUI:C0334269
DOID:4633,nasal cavity inverting papilloma,NCI:C8194
DOID:4633,nasal cavity inverting papilloma,UMLS_CUI:C0280336
DOID:4645,retinal cancer,ICD10CM:C69.2
DOID:4645,retinal cancer,ICD9CM:190.5
DOID:4645,retinal cancer,MESH:D019572
DOID:4645,retinal cancer,NCI:C3216
DOID:4645,retinal cancer,NCI:C4800
DOID:4645,retinal cancer,SNOMEDCT_US_2023_03_01:127002001
DOID:4645,retinal cancer,SNOMEDCT_US_2023_03_01:93987004
DOID:4645,retinal cancer,UMLS_CUI:C0024622
DOID:4645,retinal cancer,UMLS_CUI:C0524801
DOID:4648,familial retinoblastoma,MESH:D012175
DOID:4648,familial retinoblastoma,NCI:C8495
DOID:4648,familial retinoblastoma,UMLS_CUI:C0751483
DOID:4650,bilateral retinoblastoma,NCI:C8713
DOID:4650,bilateral retinoblastoma,UMLS_CUI:C0854914
DOID:4651,unilateral retinoblastoma,NCI:C8714
DOID:4651,unilateral retinoblastoma,UMLS_CUI:C0854915
DOID:4653,intraocular retinoblastoma,NCI:C7846
DOID:4653,intraocular retinoblastoma,UMLS_CUI:C0278717
DOID:4656,extraocular retinoblastoma,NCI:C7848
DOID:4656,extraocular retinoblastoma,UMLS_CUI:C0278719
DOID:4658,benign mastocytoma,ICD10CM:D47.09
DOID:4658,benign mastocytoma,NCI:C9303
DOID:4658,benign mastocytoma,SNOMEDCT_US_2023_03_01:134333006
DOID:4658,benign mastocytoma,UMLS_CUI:C0024897
DOID:4659,extracutaneous mastocytoma,ICD10CM:D47.09
DOID:4659,extracutaneous mastocytoma,MESH:D034801
DOID:4659,extracutaneous mastocytoma,NCI:C7136
DOID:4659,extracutaneous mastocytoma,SNOMEDCT_US_2023_03_01:63175003
DOID:4659,extracutaneous mastocytoma,UMLS_CUI:C0272202
DOID:467,venous hemangioma,ICDO:9122/0
DOID:467,venous hemangioma,NCI:C4296
DOID:467,venous hemangioma,SNOMEDCT_US_2023_03_01:56468002
DOID:467,venous hemangioma,UMLS_CUI:C0334532
DOID:4678,thymus mucoepidermoid carcinoma,NCI:C6457
DOID:4678,thymus mucoepidermoid carcinoma,UMLS_CUI:C1334814
DOID:4679,breast mucoepidermoid carcinoma,NCI:C5166
DOID:4679,breast mucoepidermoid carcinoma,UMLS_CUI:C1334813
DOID:468,intramuscular hemangioma,MESH:D006391
DOID:468,intramuscular hemangioma,ICDO:9132/0
DOID:468,intramuscular hemangioma,NCI:C3699
DOID:468,intramuscular hemangioma,SNOMEDCT_US_2023_03_01:54249004
DOID:468,intramuscular hemangioma,UMLS_CUI:C0205789
DOID:4680,breast metaplastic carcinoma,GARD:10804
DOID:4680,breast metaplastic carcinoma,ICDO:8575/3
DOID:4680,breast metaplastic carcinoma,NCI:C5164
DOID:4680,breast metaplastic carcinoma,SNOMEDCT_US_2023_03_01:763479005
DOID:4680,breast metaplastic carcinoma,UMLS_CUI:C1334708
DOID:4681,bile duct mucoepidermoid carcinoma,NCI:C5862
DOID:4681,bile duct mucoepidermoid carcinoma,UMLS_CUI:C1332552
DOID:4682,extrahepatic bile duct carcinoma,NCI:C3860
DOID:4682,extrahepatic bile duct carcinoma,SNOMEDCT_US_2023_03_01:372101000
DOID:4682,extrahepatic bile duct carcinoma,UMLS_CUI:C0238019
DOID:4683,cutaneous mucoepidermoid carcinoma,NCI:C4472
DOID:4683,cutaneous mucoepidermoid carcinoma,SNOMEDCT_US_2023_03_01:254713002
DOID:4683,cutaneous mucoepidermoid carcinoma,UMLS_CUI:C0346019
DOID:4685,lacrimal gland mucoepidermoid carcinoma,NCI:C6091
DOID:4685,lacrimal gland mucoepidermoid carcinoma,UMLS_CUI:C1334359
DOID:4686,mucoepidermoid esophageal carcinoma,NCI:C5343
DOID:4686,mucoepidermoid esophageal carcinoma,UMLS_CUI:C1333461
DOID:4687,thyroid gland mucoepidermoid carcinoma,NCI:C38762
DOID:4687,thyroid gland mucoepidermoid carcinoma,UMLS_CUI:C1513721
DOID:4688,laryngeal mucoepidermoid carcinoma,NCI:C9463
DOID:4688,laryngeal mucoepidermoid carcinoma,UMLS_CUI:C1334373
DOID:469,deep angioma,NCI:C6555
DOID:469,deep angioma,UMLS_CUI:C1333265
DOID:4690,childhood mediastinal neurogenic tumor,NCI:C5429
DOID:4690,childhood mediastinal neurogenic tumor,UMLS_CUI:C1332981
DOID:4691,malignant mediastinal neurogenic neoplasm,NCI:C6624
DOID:4691,malignant mediastinal neurogenic neoplasm,UMLS_CUI:C1334672
DOID:4693,nerve plexus neoplasm,NCI:C5822
DOID:4693,nerve plexus neoplasm,UMLS_CUI:C1334945
DOID:4696,intraneural perineurioma,GARD:10921
DOID:4696,intraneural perineurioma,NCI:C6911
DOID:4696,intraneural perineurioma,SNOMEDCT_US_2023_03_01:768934004
DOID:4696,intraneural perineurioma,UMLS_CUI:C1370658
DOID:4697,perineurioma,MESH:D018317
DOID:4697,perineurioma,GARD:12698
DOID:4697,perineurioma,ICDO:9571/0
DOID:4697,perineurioma,NCI:C4973
DOID:4697,perineurioma,NCI:C6912
DOID:4697,perineurioma,SNOMEDCT_US_2023_03_01:128795001
DOID:4697,perineurioma,SNOMEDCT_US_2023_03_01:404036006
DOID:4697,perineurioma,UMLS_CUI:C0751691
DOID:4697,perineurioma,UMLS_CUI:C1370657
DOID:4698,nerve root neoplasm,NCI:C5119
DOID:4698,nerve root neoplasm,UMLS_CUI:C1334946
DOID:4699,epicardium cancer,NCI:C5347
DOID:4699,epicardium cancer,SNOMEDCT_US_2023_03_01:126733004
DOID:4699,epicardium cancer,SNOMEDCT_US_2023_03_01:93782004
DOID:4699,epicardium cancer,UMLS_CUI:C0346610
DOID:4699,epicardium cancer,UMLS_CUI:C1290403
DOID:470,verrucous keratotic hemangioma,ICDO:9142/0
DOID:470,verrucous keratotic hemangioma,NCI:C4299
DOID:470,verrucous keratotic hemangioma,SNOMEDCT_US_2023_03_01:20985003
DOID:470,verrucous keratotic hemangioma,UMLS_CUI:C0334540
DOID:4706,infratentorial cancer,ICD10CM:C71.7
DOID:4706,infratentorial cancer,MESH:D015192
DOID:4706,infratentorial cancer,NCI:C3139
DOID:4706,infratentorial cancer,NCI:C4966
DOID:4706,infratentorial cancer,UMLS_CUI:C0021432
DOID:4706,infratentorial cancer,UMLS_CUI:C0751593
DOID:4707,cervicomedullary junction neoplasm,NCI:C5423
DOID:4707,cervicomedullary junction neoplasm,UMLS_CUI:C1332923
DOID:4708,foramen magnum meningioma,NCI:C5280
DOID:4708,foramen magnum meningioma,UMLS_CUI:C1333630
DOID:471,skin hemangioma,NCI:C4905
DOID:471,skin hemangioma,SNOMEDCT_US_2023_03_01:254773009
DOID:471,skin hemangioma,UMLS_CUI:C0687140
DOID:4715,gastric neuroendocrine neoplasm,NCI:C5696
DOID:4715,gastric neuroendocrine neoplasm,SNOMEDCT_US_2023_03_01:721194008
DOID:4715,gastric neuroendocrine neoplasm,UMLS_CUI:C1333783
DOID:4716,malignant gastric germ cell tumor,NCI:C6448
DOID:4716,malignant gastric germ cell tumor,UMLS_CUI:C1333769
DOID:4717,extragonadal germ cell cancer,NCI:C3918
DOID:4717,extragonadal germ cell cancer,NCI:C8881
DOID:4717,extragonadal germ cell cancer,UMLS_CUI:C0262963
DOID:4717,extragonadal germ cell cancer,UMLS_CUI:C1334581
DOID:4719,bone giant cell sarcoma,NCI:C4304
DOID:4719,bone giant cell sarcoma,SNOMEDCT_US_2023_03_01:10069009
DOID:4719,bone giant cell sarcoma,UMLS_CUI:C0334552
DOID:472,subglottic angioma,NCI:C6026
DOID:472,subglottic angioma,UMLS_CUI:C1336518
DOID:4739,testicular Brenner tumor,NCI:C39953
