"acc","librarysource"
"SRR12709307","GENOMIC"
"SRR18243962","TRANSCRIPTOMIC"
"SRR11728955","TRANSCRIPTOMIC"
"SRR12709282","GENOMIC"
"SRR18400952","GENOMIC"
"SRR15672523","GENOMIC"
"SRR27078676","METAGENOMIC"
"SRR25288757","VIRAL RNA"
"SRR3614862","OTHER"
"SRR12709427","GENOMIC"
"SRR19350966","TRANSCRIPTOMIC"
"SRR12709214","GENOMIC"
"SRR25288495","VIRAL RNA"
"DRR197454","GENOMIC"
"SRR12709806","GENOMIC"
"SRR4445817","GENOMIC"
"SRR12709985","GENOMIC"
"DRR322188","GENOMIC"
"DRR125286","GENOMIC"
"SRR17932210","METAGENOMIC"
"SRR13233356","GENOMIC"
"SRR11811981","TRANSCRIPTOMIC"
"SRR1609143","GENOMIC"
"SRR8313442","GENOMIC"
"SRR27078594","METAGENOMIC"
"SRR12709886","GENOMIC"
"SRR10825110","GENOMIC"
"SRR12709161","GENOMIC"
"SRR10768861","TRANSCRIPTOMIC"
"SRR25523787","TRANSCRIPTOMIC SINGLE CELL"
"SRR12709744","GENOMIC"
"SRR15442756","METAGENOMIC"
"SRR15719358","METATRANSCRIPTOMIC"
"SRR26073715","GENOMIC"
"SRR27078608","METAGENOMIC"
"SRR16019139","TRANSCRIPTOMIC"
"SRR4003617","GENOMIC"
"SRR6847340","METAGENOMIC"
"SRR25318379","METAGENOMIC"
"SRR15724326","TRANSCRIPTOMIC"
"SRR3614854","OTHER"
"DRR125359","GENOMIC"
"SRR1611076","GENOMIC"
"SRR18086813","GENOMIC"
"SRR1611099","GENOMIC"
"SRR25288820","VIRAL RNA"
"DRR125251","GENOMIC"
"SRR25658126","GENOMIC"
"SRR6242968","METAGENOMIC"
"SRR4003760","GENOMIC"
"SRR27078935","METAGENOMIC"
"DRR125288","GENOMIC"
"SRR22765704","GENOMIC"
"SRR19898636","TRANSCRIPTOMIC"
"SRR12820635","GENOMIC"
"SRR27078552","METAGENOMIC"
"SRR17518778","TRANSCRIPTOMIC"
"SRR22028280","TRANSCRIPTOMIC"
"SRR25288813","VIRAL RNA"
"SRR12709224","GENOMIC"
"SRR24307129","METAGENOMIC"
"SRR25288484","VIRAL RNA"
"SRR9112964","GENOMIC"
"SRR23700944","TRANSCRIPTOMIC"
"SRR8109519","GENOMIC"
"SRR12517836","GENOMIC"
"SRR14712215","GENOMIC"
"SRR11728957","TRANSCRIPTOMIC"
"SRR12709271","GENOMIC"
"SRR1647234","METAGENOMIC"
"SRR11556309","GENOMIC"
"SRR15672515","GENOMIC"
"SRR15442912","METAGENOMIC"
"SRR25679355","TRANSCRIPTOMIC"
"SRR8130960","GENOMIC"
"SRR12694846","GENOMIC"
"SRR13700643","GENOMIC"
"SRR1639734","GENOMIC"
"SRR25288841","VIRAL RNA"
"SRR27078656","METAGENOMIC"
"SRR15442837","METAGENOMIC"
"SRR25288524","VIRAL RNA"
"SRR22672198","TRANSCRIPTOMIC SINGLE CELL"
"SRR4003762","GENOMIC"
"SRR22071714","METATRANSCRIPTOMIC"
"SRR15442963","METAGENOMIC"
"SRR18286248","TRANSCRIPTOMIC"
"SRR17140469","METAGENOMIC"
"SRR21205034","TRANSCRIPTOMIC"
"SRR1611108","GENOMIC"
"SRR12709131","GENOMIC"
"DRR125292","GENOMIC"
"SRR12709775","GENOMIC"
"SRR1611025","GENOMIC"
"SRR27078797","METAGENOMIC"
"SRR13790190","TRANSCRIPTOMIC"
"SRR12710027","GENOMIC"
"SRR27078618","METAGENOMIC"
"SRR15442952","METAGENOMIC"
"SRR15442830","METAGENOMIC"
"SRR13657713","GENOMIC"
"SRR12710152","GENOMIC"
"SRR12709879","GENOMIC"
"SRR8244392","TRANSCRIPTOMIC"
"SRR21148509","GENOMIC"
