accession	presumed_host
OR952815-1_51_1244_1	Tylonycteris pachypus
OR952780-1_51_1229_1	Scotophilus kuhlii
OR952847-1_51_1238_1	Scotophilus kuhlii
OR952843-1_51_1241_1	Scotophilus kuhlii
OR952828-1_36_1223_1	Scotophilus kuhlii
OR952802-1_102_1286_1	Rhinolophus affinis
OR952901-1_108_1295_1	Rhinolophus ferrumequinum
OR952905-1_78_1265_1	Rhinolophus ferrumequinum
OR952908-1_126_1322_1	Rhinolophus ferrumequinum
OR952906-1_108_1304_1	Rhinolophus ferrumequinum
OR952920-1_123_1325_1	Rhinolophus sp.
OR952915-1_123_1325_1	Rhinolophus sinicus
OR952918-1_126_1325_1	Rhinolophus affinis
OR952907-1_102_1295_1	Rhinolophus ferrumequinum
OR952904-1_24_1217_1	Rhinolophus ferrumequinum
OR952794-1_99_1286_1	Rhinolophus sinicus
OR952900-1_78_1250_1	Rhinolophus ferrumequinum
OR952910-1_132_1301_1	Rhinolophus ferrumequinum
OR952790-1_96_1286_1	Rhinolophus pusillus
OR952805-1_87_1286_1	Rhinolophus affinis
OR952916-1_123_1304_1	Rhinolophus sinicus
OR952807-1_87_1259_1	Rhinolophus sp.
OR952919-1_99_1292_1	Rhinolophus affinis
KC858266-1_105_1292_1	Rhinolophus ferrumequinum
PP711991-1_84_1079_1	Eidolon helvum
KX276954-1_45_1235_1	Eidolon helvum
JX885598-1_0_1139_1	Eidolon helvum
JX123128-1_252_1448_1	Eidolon helvum
KX434763-1_90_1286_1	Eidolon helvum
OR952823-1_87_1295_1	Pipistrellus abramus
OR952860-1_132_1334_1	Myotis ricketti
OR952893-1_126_1328_1	Myotis adversus
OR952864-1_9_1196_1	Miniopterus pusillus
OR952850-1_132_1328_1	Hipposideros larvatus
OR952853-1_321_1505_1	Hipposideros larvatus
OR952854-1_84_1274_1	Hipposideros larvatus
OR952851-1_84_1280_1	Hipposideros larvatus
OR952886-1_63_1253_1	Hipposideros pomona
OR952885-1_45_1235_1	Hipposideros pomona
OR952792-1_6_1199_1	Rhinolophus sinicus
OR952890-1_30_1220_1	Hipposideros pomona
OR952784-1_81_1271_1	Aselliscus stoliczkanus
OR952856-1_204_1397_1	Hipposideros larvatus
OR952887-1_84_1274_1	Hipposideros pomona
OR952922-1_84_1271_1	Hipposideros armiger
OR952855-1_81_1265_1	Hipposideros larvatus
OR952909-1_9_1214_1	Rhinolophus ferrumequinum
OR952799-1_57_1253_1	Rhinolophus affinis
OR952788-1_57_1250_1	Rhinolophus pusillus
OR952863-1_51_1241_1	Hipposideros armiger
OR952798-1_123_1313_1	Rhinolophus sinicus
OR952931-1_57_1250_1	Rhinolophus sinicus
OR952902-1_72_1256_1	Rhinolophus ferrumequinum
BK066482-1_51_1244_1	Rhinolophidae
OR952801-1_54_1247_1	Rhinolophus affinis
OR952793-1_51_1265_1	Rhinolophus sinicus
OR952783-1_90_1277_1	Rhinolophus sinicus
OR952924-1_117_1307_1	Rhinolophus ferrumequinum
OR952804-1_75_1268_1	Rhinolophus affinis
OR952803-1_114_1310_1	Rhinolophus affinis
OR952772-1_84_1274_1	Rhinolophus sp.
OR952899-1_198_1397_1	Rhinolophus pusillus
OR952795-1_135_1325_1	Rhinolophus sinicus
OR952773-1_114_1304_1	Rhinolophus sp.
OR952786-1_75_1262_1	Rhinolophus pusillus
OR952787-1_195_1382_1	Rhinolophus pusillus
OR952806-1_84_1292_1	Rhinolophus affinis
OR952921-1_75_1262_1	Rhinolophus macrotis
OR952796-1_75_1256_1	Rhinolophus sinicus
OR952928-1_57_1262_1	Rhinolophus ferrumequinum
JQ692938-1_123_1295_1	Miniopterus schreibersii
OR952791-1_84_1286_1	Rhinolophus pusillus
OR952785-1_84_1280_1	Rhinolophus pusillus
AY684126-1_51_1235_1	Erethizon dorsatum
OL704824-1_93_1298_1	Eumops bonariensis
MH230930-1_114_1328_1	Tadarida brasiliensis
OR952827-1_54_1247_1	Scotophilus kuhlii
OR952837-1_54_1253_1	Scotophilus kuhlii
OR952779-1_153_1349_1	Scotophilus kuhlii
OR952869-1_0_1175_1	Tylonycteris robustula
OR952880-1_0_1196_1	Tylonycteris robustula
OR952826-1_102_1316_1	Scotophilus kuhlii
MW922427-1_63_1286_1	Tadarida brasiliensis
OR952896-1_138_1361_1	Chaerephon plicatus
MW922428-1_90_1313_1	Tadarida brasiliensis
MN329804-1_99_1325_1	Tadarida brasiliensis
KF741371-1_78_1277_1	Equus asinus
OP699054-1_120_1304_1	Equus asinus
OR951005-1_12_1205_1	Taphozous melanopogon
OR952884-1_63_1250_1	Taphozous melanopogon
OR952883-1_183_1391_1	Taphozous melanopogon
OR952881-1_54_1265_1	Taphozous melanopogon
OR952882-1_54_1274_1	Taphozous melanopogon
PP711989-1_225_1451_1	Mops condylurus
OL704825-1_126_1328_1	Eumops bonariensis
KX812447-1_174_1385_1	Molossus molossus
OL704823-1_174_1382_1	Molossus molossus
EF584537-1_162_1331_1	Canis lupus familiaris
OP432240-1_63_1232_1	Canis lupus familiaris
KP099966-1_174_1358_1	Canis lupus familiaris
JF800658-1_1602_2786_1	Canis lupus familiaris
FJ492743-1_66_1250_1	Canis lupus familiaris
DQ295066-1_93_1277_1	Canis lupus familiaris
JF800656-1_282_1466_1	Canis lupus familiaris
JF800657-1_144_1325_1	Canis lupus familiaris
JX899359-1_123_1304_1	Canis lupus familiaris
HQ262536-1_114_1286_1	Canis lupus familiaris
MG571093-1_45_1253_1	Leptonychotes weddellii
HQ293213-1_45_1235_1	Zalophus californianus
MW841296-1_60_1241_1	Martes foina
MK443497-1_75_1253_1	Tupaia chinensis
BK066449-1_204_1379_1	Gerbillinae
NC_001605-1_192_1367_1	Mastomys natalensis
HQ625441-1_141_1316_1	Rattus norvegicus
JF755418-1_96_1271_1	Peromyscus maniculatus
BK066744-1_195_1370_1	Cricetidae
KU963288-1_102_1274_1	Equus caballus
EU796884-1_147_1331_1	Felis catus
MG571095-1_93_1289_1	Leptonychotes weddellii
KY817993-1_273_1469_1	Sus scrofa
HQ262535-1_138_1322_1	Morelia spilota spilota
MH605022-1_123_1304_1	Boa imperator
KF574429-1_48_1235_1	Trichechus manatus latirostris
KF574428-1_42_1229_1	Trichechus manatus latirostris
OK073977-1_69_1253_1	Trichechus manatus manatus
BK062778-1_192_1367_1	Manis pentadactyla
OP748392-1_81_1250_1	Delphinapterus leucas
MT078971-1_138_1322_1	Sus scrofa
